review_id,hotel_id,user_id,rating,title,body,language,traveller_type,stay_date,room_type_id,helpful_votes,has_photo,sentiment_hint,created_at,updated_at
rvw_ca3ca8ba,htl_d8608c0c,usr_db93de1b,5,Good location,Breakfast is repetitive if you stay more than three nights. Worth it for the location alone.,en-IN,senior,2026-08-01,rmt_6499086b,6,0,-0.11,2026-08-10T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_90d2498b,htl_d8608c0c,usr_5dec704e,7,Average,"जगह बहुत अच्छी है, मुख्य बाज़ार पैदल दूरी पर। गरम पानी में थोड़ी दिक्कत रही।",hi,backpacker,2026-02-05,rmt_4f3886f8,0,0,0.33,2026-02-15T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_45aaf688,htl_d8608c0c,usr_54e0dc44,7,Good location,"Staff remembered our names by the second morning, which is rare anywhere. The street noise starts around six and there is no getting around it. Exactly what was advertised, no more and no less.",en-IN,friends,2025-07-04,rmt_6499086b,0,1,0.33,2025-07-05T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_40eb4d6d,htl_d8608c0c,usr_7faf6134,7,Good location,"जगह बहुत अच्छी है, मुख्य बाज़ार पैदल दूरी पर। गरम पानी में थोड़ी दिक्कत रही।",hi,couple,2026-05-14,rmt_02c452c7,0,0,0.33,2026-05-26T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_c7fe0bb0,htl_d8608c0c,usr_d9b13621,6,Noisy but central,"Breakfast was better than it needed to be. The upma in particular. Checked in at 6am off a delayed train and they let us in early without fuss. Housekeeping was hit and miss — fine most days, skipped once. Would stay again, but I would ask for a room at the back.",en-GB,couple,2026-05-24,rmt_b7b6d115,14,0,0.11,2026-06-09T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_4589707a,htl_d8608c0c,usr_2353848b,9,Good location,"Checked in at 6am off a delayed train and they let us in early without fuss. The courtyard is genuinely lovely in the evening. Would stay again, but I would ask for a room at the back.",en-IN,business,2025-08-14,,1,0,0.78,2025-09-01T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_1e2d8d03,htl_d8608c0c,usr_45175b03,5,Better than expected,"Hot water was inconsistent on the upper floor. Fine for two nights, probably not for a week.",en-IN,couple,2025-06-28,,3,0,-0.11,2025-07-14T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_dad3eba2,htl_d8608c0c,usr_24e54a31,8,Average,The stepwell-style water feature is genuinely lovely in the evening. Worth it for the location alone.,en-IN,friends,2026-07-18,rmt_b7b6d115,2,0,0.56,2026-07-31T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_cfc1144f,htl_d8608c0c,usr_ee605ce4,5,Better than expected,"Housekeeping was hit and miss — fine most days, skipped once. Worth it for the location alone.",en-GB,backpacker,2025-06-05,rmt_6499086b,12,0,-0.11,2025-06-18T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_304709c0,htl_d8608c0c,usr_399971ee,5,,விலைக்கு ஏற்ற தங்குமிடம். மீண்டும் வருவேன்.,ta,couple,2026-01-04,rmt_6499086b,17,1,-0.11,2026-01-14T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_ffff16a5,htl_d8608c0c,usr_b2adbbfa,7,Average,"Breakfast was better than it needed to be. The appam in particular. The location is the whole argument for this place — we walked to the old bazaar twice a day. The photographs make the room look larger than it is. Fine for two nights, probably not for a week.",en-IN,family,2025-08-20,,5,0,0.33,2025-09-01T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_5e76de74,htl_d8608c0c,usr_1d51b0cb,7,,"The location is the whole argument for this place — we walked to the old bazaar twice a day. The photographs make the room look larger than it is. Fine for two nights, probably not for a week.",en-GB,solo,2026-07-19,rmt_02c452c7,0,0,0.33,2026-08-06T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_3c24380a,htl_d8608c0c,usr_596ee95d,5,Mixed,"The lift was out for our whole stay and we were on the fourth floor. Exactly what was advertised, no more and no less.",en-IN,backpacker,2026-06-18,rmt_b7b6d115,8,0,-0.11,2026-06-27T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_2a6bbf88,htl_d8608c0c,usr_7157baa6,6,Good location,"The shaded verandah is genuinely lovely in the evening. Housekeeping was hit and miss — fine most days, skipped once. Fine for two nights, probably not for a week.",en-IN,couple,2026-03-06,rmt_6499086b,4,0,0.11,2026-03-09T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_3822c597,htl_d8608c0c,usr_7faf6134,6,Good location,"जगह बहुत अच्छी है, मुख्य बाज़ार पैदल दूरी पर। गरम पानी में थोड़ी दिक्कत रही।",hi,solo,2026-01-07,rmt_b7b6d115,2,0,0.11,2026-01-17T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_02d6ec49,htl_d8608c0c,usr_ae377360,9,Would return,खोली स्वच्छ होती आणि कर्मचारी मदतशील होते. नाश्ता बरा होता.,mr,backpacker,2026-03-30,rmt_4f3886f8,12,1,0.78,2026-04-13T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_1f111e75,htl_d8608c0c,usr_e7080930,5,Mixed,ঘর পরিষ্কার ছিল এবং কর্মীরা সাহায্য করেছেন। সকালের খাবার মোটামুটি।,bn,friends,2026-07-03,rmt_02c452c7,4,0,-0.11,2026-07-05T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_b551bdd3,htl_d8608c0c,usr_8fd32aa8,7,,"Checked in at 6am off a delayed train and they let us in early without fuss. Room was spotless and the air conditioning was silent, which mattered in October. Thin walls. We heard the family next door quite clearly. Exactly what was advertised, no more and no less.",en-IN,backpacker,2025-06-11,rmt_02c452c7,0,0,0.33,2025-06-18T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_afe00aca,htl_d8608c0c,usr_f6db29eb,7,Mixed,Breakfast was better than it needed to be. The misal in particular. Good value for what you get. We paid less than the chain hotel two streets away. The lift was out for our whole stay and we were on the fourth floor. Worth it for the location alone.,en-IN,backpacker,2026-05-28,rmt_6499086b,10,0,0.33,2026-05-29T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_024b7a10,htl_d8608c0c,usr_34d33978,7,Mixed,Good value for what you get. We paid less than the chain hotel two streets away. Breakfast was better than it needed to be. The appam in particular. The street noise starts around six and there is no getting around it. Worth it for the location alone.,en-IN,friends,2025-07-20,rmt_6499086b,8,1,0.33,2025-07-23T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_86ca7387,htl_d8608c0c,usr_0ecc288c,5,Would return,"Thin walls. We heard the family next door quite clearly. Fine for two nights, probably not for a week.",en-IN,friends,2026-03-24,rmt_b7b6d115,8,0,-0.11,2026-04-03T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_6d59f517,htl_d8608c0c,usr_1df4c157,5,Average,"Housekeeping was hit and miss — fine most days, skipped once. Slightly overpriced in season, good value outside it.",en-IN,backpacker,2026-07-13,rmt_4f3886f8,0,0,-0.11,2026-07-21T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_9810698d,htl_d8608c0c,usr_91afdeed,7,Great staff,"पैसे के हिसाब से बढ़िया। दोबारा आऊँगा, पर पीछे वाला कमरा लूँगा।",hi,backpacker,2025-09-13,rmt_4f3886f8,0,0,0.33,2025-09-17T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_30e67cf6,htl_d8608c0c,,6,Great staff,"Good value for what you get. We paid less than the chain hotel two streets away. Checked in at 6am off a delayed train and they let us in early without fuss. The photographs make the room look larger than it is. Fine for two nights, probably not for a week.",en-IN,family,2025-11-21,rmt_4f3886f8,3,1,0.11,2025-12-10T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_996e649b,htl_51d644a1,usr_c81e60fe,7,Noisy but central,ప్రదేశం చాలా బాగుంది. ధరకు తగిన విలువ.,te,family,2026-02-08,rmt_062dea81,9,0,0.33,2026-02-17T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_bdf939c3,htl_51d644a1,usr_87dbc172,8,Better than expected,खोली स्वच्छ होती आणि कर्मचारी मदतशील होते. नाश्ता बरा होता.,mr,business,2025-06-17,rmt_a1a42253,8,0,,2025-06-30T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_38a2e90f,htl_51d644a1,usr_a36d3b50,6,Mixed,"The courtyard is genuinely lovely in the evening. Room was spotless and the air conditioning was silent, which mattered in May. Housekeeping was hit and miss — fine most days, skipped once. Exactly what was advertised, no more and no less.",en-IN,business,2026-06-04,,1,0,0.11,2026-06-09T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_695aa572,htl_51d644a1,usr_e9e3f281,7,Great staff,മുറി വൃത്തിയായിരുന്നു. ജീവനക്കാർ സഹായകരമായിരുന്നു. പ്രഭാതഭക്ഷണം ശരാശരി.,ml,senior,2026-08-03,,0,1,0.33,2026-08-14T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_8922ffb2,htl_51d644a1,,7,Better than expected,"గది శుభ్రంగా ఉంది, సిబ్బంది సహాయకరంగా ఉన్నారు. అల్పాహారం సాధారణం.",te,family,2026-05-13,rmt_4d69cd72,1,1,0.33,2026-05-30T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_98da951f,htl_51d644a1,usr_bbf1e497,7,Mixed,"அறை சுத்தமாக இருந்தது, ஊழியர்கள் உதவிகரமாக இருந்தனர். காலை உணவு சராசரி.",ta,business,2026-07-25,rmt_4d69cd72,8,0,0.33,2026-07-27T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_5815af52,htl_51d644a1,usr_ab2353de,9,Noisy but central,"Staff remembered our names by the second morning, which is rare anywhere. Would stay again, but I would ask for a room at the back.",en-IN,backpacker,2026-02-20,,0,0,0.78,2026-03-09T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_468ff3e2,htl_51d644a1,usr_7b4006b0,8,Good location,"ठिकाण उत्तम आहे, बाजार चालत जाण्याच्या अंतरावर.",mr,solo,2025-10-10,,7,0,,2025-10-20T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_9324950d,htl_51d644a1,usr_037c5821,8,,"Room was spotless and the air conditioning was silent, which mattered in April. The kitchen garden is genuinely lovely in the evening. Slightly overpriced in season, good value outside it.",en-IN,family,2025-08-20,,3,0,0.56,2025-09-04T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_5653c8f2,htl_51d644a1,usr_9793e551,6,,"Staff remembered our names by the second morning, which is rare anywhere. Room was spotless and the air conditioning was silent, which mattered in January. Getting a cab from here in the evening took longer than it should. Would stay again, but I would ask for a room at the back.",en-IN,senior,2026-01-04,,14,0,0.11,2026-01-14T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_e562a4c9,htl_51d644a1,usr_63f4e9fd,10,Would return,"Room was spotless and the air conditioning was silent, which mattered in June. Staff remembered our names by the second morning, which is rare anywhere. Worth it for the location alone.",en-GB,senior,2026-03-19,rmt_4d69cd72,11,1,,2026-04-05T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_156e5d83,htl_51d644a1,usr_5e289429,10,Average,"Staff remembered our names by the second morning, which is rare anywhere. Slightly overpriced in season, good value outside it.",en-GB,backpacker,2025-05-18,rmt_062dea81,8,0,1,2025-06-01T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_5ae2d46d,htl_51d644a1,usr_02b8ddf9,4,Better than expected,"గది శుభ్రంగా ఉంది, సిబ్బంది సహాయకరంగా ఉన్నారు. అల్పాహారం సాధారణం.",te,business,2025-05-24,,4,1,-0.33,2025-06-04T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_a4a11406,htl_51d644a1,usr_02d5e350,8,,"Breakfast was better than it needed to be. The dhokla in particular. Room was spotless and the air conditioning was silent, which mattered in October. Slightly overpriced in season, good value outside it.",en-IN,business,2026-06-25,rmt_4d69cd72,5,0,0.56,2026-07-09T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_4a23ad4b,htl_51d644a1,usr_47d7ab5a,7,Mixed,"Breakfast was better than it needed to be. The misal in particular. The colonnaded corridor is genuinely lovely in the evening. The street noise starts around six and there is no getting around it. Slightly overpriced in season, good value outside it.",en-IN,family,2025-08-24,rmt_a1a42253,1,0,0.33,2025-08-25T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_75a2aca0,htl_51d644a1,,3,,"पैसे के हिसाब से बढ़िया। दोबारा आऊँगा, पर पीछे वाला कमरा लूँगा।",hi,friends,2025-04-08,,0,0,-0.56,2025-04-17T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_5ca0b51e,htl_51d644a1,usr_c6cbfba5,9,Would return,"Wi-fi held up well enough for a two-hour video call, which I did not expect. Worth it for the location alone.",en-IN,solo,2025-09-20,rmt_062dea81,4,0,0.78,2025-09-26T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_5a7cbd97,htl_51d644a1,usr_492b38ba,6,Better than expected,"जगह बहुत अच्छी है, मुख्य बाज़ार पैदल दूरी पर। गरम पानी में थोड़ी दिक्कत रही।",hi,family,2025-04-09,,9,0,,2025-04-21T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_7de8e8e5,htl_51d644a1,usr_329d228c,8,Noisy but central,"कमरा साफ़ था और स्टाफ़ मददगार था। नाश्ता ठीक-ठाक था, लेकिन सड़क का शोर सुबह जल्दी शुरू हो जाता है।",hi,family,2025-04-30,rmt_18090453,5,1,0.56,2025-05-02T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_6aec21ea,htl_51d644a1,usr_76bba6d8,7,Mixed,"The rooftop terrace is genuinely lovely in the evening. Room was spotless and the air conditioning was silent, which mattered in May. Getting a cab from here in the evening took longer than it should. Fine for two nights, probably not for a week.",en-IN,couple,2025-06-08,rmt_062dea81,1,1,0.33,2025-06-18T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_a3d68223,htl_51d644a1,usr_9d0bf50e,4,,"The photographs make the room look larger than it is. Breakfast is repetitive if you stay more than three nights. Exactly what was advertised, no more and no less.",en-IN,couple,2026-06-27,rmt_18090453,0,0,-0.33,2026-07-02T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_8999972e,htl_51d644a1,usr_81dbf021,8,Better than expected,"पैसे के हिसाब से बढ़िया। दोबारा आऊँगा, पर पीछे वाला कमरा लूँगा।",hi,senior,2025-11-04,rmt_4d69cd72,6,0,0.56,2025-11-07T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_844095a6,htl_51d644a1,usr_737d4dab,7,Noisy but central,"Room was spotless and the air conditioning was silent, which mattered in December. Thin walls. We heard the family next door quite clearly. Would stay again, but I would ask for a room at the back.",en-IN,couple,2026-03-25,rmt_4d69cd72,10,0,0.33,2026-04-01T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_81eb8e47,htl_51d644a1,usr_f49d96dd,10,Good location,"Breakfast was better than it needed to be. The puttu in particular. Fine for two nights, probably not for a week.",en-IN,friends,2026-02-15,rmt_a1a42253,5,0,1,2026-03-01T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_7cc50171,htl_51d644a1,usr_02b3a36d,6,Great staff,"The internal atrium is genuinely lovely in the evening. Thin walls. We heard the family next door quite clearly. Fine for two nights, probably not for a week.",en-IN,business,2026-06-30,,8,0,0.11,2026-07-12T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_d86cf566,htl_34e56f8c,usr_e21b6644,8,Would return,"The rooftop terrace is genuinely lovely in the evening. Would stay again, but I would ask for a room at the back.",en-IN,solo,2025-09-12,rmt_f01a2942,2,0,0.56,2025-09-26T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_6a911d87,htl_34e56f8c,,6,Noisy but central,ঘর পরিষ্কার ছিল এবং কর্মীরা সাহায্য করেছেন। সকালের খাবার মোটামুটি।,bn,business,2026-06-21,rmt_b2228b31,6,0,0.11,2026-07-02T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_c5883b24,htl_34e56f8c,usr_44ef2e9c,7,,"The shaded verandah is genuinely lovely in the evening. Thin walls. We heard the family next door quite clearly. Would stay again, but I would ask for a room at the back.",en-IN,business,2025-10-13,rmt_6b804d20,3,0,0.33,2025-10-25T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_030db20b,htl_34e56f8c,usr_c426b4e1,4,,മുറി വൃത്തിയായിരുന്നു. ജീവനക്കാർ സഹായകരമായിരുന്നു. പ്രഭാതഭക്ഷണം ശരാശരി.,ml,couple,2025-07-14,rmt_f01a2942,1,0,-0.33,2025-07-15T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_8a9f50e3,htl_34e56f8c,usr_d8024b62,6,Average,"Staff remembered our names by the second morning, which is rare anywhere. The street noise starts around six and there is no getting around it. Slightly overpriced in season, good value outside it.",en-IN,backpacker,2026-05-02,rmt_f01a2942,1,0,0.11,2026-05-06T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_05c03415,htl_34e56f8c,usr_101792ef,9,Noisy but central,"Room was spotless and the air conditioning was silent, which mattered in May. Wi-fi held up well enough for a two-hour video call, which I did not expect. Exactly what was advertised, no more and no less.",en-IN,senior,2025-07-29,rmt_6b804d20,8,0,0.78,2025-08-14T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_cdfb2471,htl_34e56f8c,usr_a2dd8823,8,Noisy but central,விலைக்கு ஏற்ற தங்குமிடம். மீண்டும் வருவேன்.,ta,solo,2026-04-28,,8,0,0.56,2026-05-12T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_ee7b761d,htl_34e56f8c,usr_d5dfb8d0,9,,"जगह बहुत अच्छी है, मुख्य बाज़ार पैदल दूरी पर। गरम पानी में थोड़ी दिक्कत रही।",hi,business,2025-09-05,rmt_6b804d20,0,0,,2025-09-12T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_39f44ca1,htl_34e56f8c,,8,Would return,"The location is the whole argument for this place — we walked to the temple complex twice a day. Fine for two nights, probably not for a week.",en-IN,backpacker,2026-06-20,,2,0,0.56,2026-07-01T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_c224e71e,htl_34e56f8c,usr_c6cbfba5,5,,खोली स्वच्छ होती आणि कर्मचारी मदतशील होते. नाश्ता बरा होता.,mr,family,2025-10-31,rmt_f01a2942,8,1,-0.11,2025-11-08T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_99b9d4a9,htl_34e56f8c,usr_a86957a3,8,Noisy but central,"Checked in at 6am off a delayed train and they let us in early without fuss. The location is the whole argument for this place — we walked to the temple complex twice a day. Exactly what was advertised, no more and no less.",en-IN,backpacker,2026-03-30,rmt_8ca5526e,0,1,0.56,2026-04-13T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_224b1bfb,htl_34e56f8c,usr_2fcc58dc,9,Noisy but central,"Staff remembered our names by the second morning, which is rare anywhere. Worth it for the location alone.",en-GB,couple,2025-06-15,rmt_b2228b31,5,0,0.78,2025-06-29T20:00:00+05:30,2026-08-18T10:00:00+05:30
rvw_5f449f84,htl_34e56f8c,usr_04abf061,5,Mixed,"Housekeeping was hit and miss — fine most days, skipped once. Exactly what was advertised, no more and no less.",en-GB,couple,2026-02-10,rmt_b2228b31,5,0,-0.11,2026-02-28T20:00:00+05:30,2026-08-18T10:00:00+05:30
